,user,local,text,retweet_count,favorite_count,created_at
0,elonmusk,Trøllheim,@Benioff Awesome,539,11177,2023-04-27 19:56:02+00:00
1,elonmusk,Trøllheim,@paulg Exactly,214,3747,2023-04-27 15:18:28+00:00
2,elonmusk,Trøllheim,"@krassenstein Hear, hear!",419,5997,2023-04-27 15:15:17+00:00
3,elonmusk,Trøllheim,@Rainmaker1973 Best textbook intro ever,483,12246,2023-04-27 15:12:04+00:00
4,elonmusk,Trøllheim,"@EdKrassen @jacobincambodia I met with many other senior Democratic Party leaders too, many of whom, including Chuck Schumer, I have known for well over a decade.

The Schumer meeting was over an hour. He was kind, thoughtful and asked insightful questions about AI. This man cares about the American people.",247,2763,2023-04-27 15:11:00+00:00
5,elonmusk,Trøllheim,"@EdKrassen Thanks Ed, I appreciate the kind words. 

I almost never encounter negativity in gatherings where I can engage in dialogue with people. 

When I do encounter some negativity, it’s rare that they can point to anything specific, apart from “bad press”. 

Perhaps this comment thread… https://t.co/q7jTYGUCGE",1790,33515,2023-04-27 15:07:06+00:00
6,elonmusk,Trøllheim,"Anyone making materially false statements on this platform will get Community Noted, including you, me, Tucker, advertisers, head of state, etc. No exceptions. 

Convince the people and let the chips fall where they may. 

@CommunityNotes https://t.co/GLK8o7D2FS",14632,116849,2023-04-27 15:01:59+00:00
7,elonmusk,Trøllheim,@FreeBeacon Noted,856,24042,2023-04-27 08:35:21+00:00
8,elonmusk,Trøllheim,@therealmissjo Is this definitely accurate?,598,15469,2023-04-27 08:28:10+00:00
9,elonmusk,Trøllheim,[right wing meme],1126,19333,2023-04-27 06:53:56+00:00
10,elonmusk,Trøllheim,@ylecun,543,4834,2023-04-27 06:49:06+00:00
11,elonmusk,Trøllheim,https://t.co/2zbtwJs7A8,5478,68375,2023-04-27 06:48:38+00:00
12,elonmusk,Trøllheim,@ZubyMusic Nothing,367,7930,2023-04-27 05:59:46+00:00
13,elonmusk,Trøllheim,@8teAPi @ESYudkowsky Oh great,165,2674,2023-04-27 05:37:41+00:00
14,elonmusk,Trøllheim,@Scobleizer @stevewoz Blah blah GPT …,206,3558,2023-04-27 05:16:34+00:00
15,elonmusk,Trøllheim,@krassenstein Very much so,270,5643,2023-04-27 05:10:09+00:00
16,elonmusk,Trøllheim,The data with which the Federal Reserve is making decisions has too much latency,12655,136064,2023-04-27 05:08:44+00:00
17,elonmusk,Trøllheim,"@MuskUniversity Here we stand, after 13.8 billion years, a testament to the fleeting fragility of consciousness",1388,13955,2023-04-27 04:48:42+00:00
18,elonmusk,Trøllheim,@DavidSacks @RobertKennedyJr Remember the Somme,178,2216,2023-04-27 04:45:50+00:00
19,elonmusk,Trøllheim,@TheRabbitHole84 @jordanbpeterson Munchausen by proxy,2470,28957,2023-04-27 04:39:12+00:00
20,elonmusk,Trøllheim,@SawyerMerritt Good meeting,900,20707,2023-04-27 04:36:32+00:00
21,elonmusk,Trøllheim,"Met with @SenSchumer and many members of Congress about artificial intelligence regulation today.

That which affects safety of the public has, over time, become regulated to ensure that companies do not cut corners. 

AI has great power to do good and evil. Better the former.",10762,98160,2023-04-27 04:29:39+00:00
22,elonmusk,Trøllheim,@growing_daniel 🔥,153,3219,2023-04-27 03:48:12+00:00
23,elonmusk,Trøllheim,@cb_doge Much has happened,1312,25440,2023-04-27 00:01:57+00:00
24,elonmusk,Trøllheim,@ehikian @alx @bennyjohnson But not in the way it was done last time,148,2295,2023-04-26 18:18:35+00:00
25,elonmusk,Trøllheim,@DrLoupis Not tolerated on this platform,32242,455900,2023-04-26 18:15:22+00:00
26,elonmusk,Trøllheim,@GRDecter Quite a change,713,8974,2023-04-26 17:52:19+00:00
27,elonmusk,Trøllheim,"@Timcast If you are taught to hate yourself, you will want to be someone else",17378,155725,2023-04-26 17:38:01+00:00
28,elonmusk,Trøllheim,@alx @bennyjohnson Some version of them both is inevitable,433,5093,2023-04-26 16:35:51+00:00
29,elonmusk,Trøllheim,"@krassenstein @ZubyMusic The Swedish study says “sex-reassigned transsexual persons of both genders had approximately a three times higher risk of all-cause mortality than controls”. 

If we take as given that the other study 2-3X suicide rate is correct, then doing surgery or chemical sterilization on… https://t.co/JTnp4EsSw5",2852,14283,2023-04-26 16:25:48+00:00
30,elonmusk,Trøllheim,@paulg Good point,120,1659,2023-04-26 15:57:25+00:00
31,elonmusk,Trøllheim,@SawyerMerritt @Tesla cgi irl,426,7581,2023-04-26 05:33:36+00:00
32,elonmusk,Trøllheim,@pizzahut @0xgaut 🤯,112,2062,2023-04-26 05:31:35+00:00
33,elonmusk,Trøllheim,"@Scobleizer Maybe we are LLMs, living on a GPU &amp; don’t realize it 👀",1019,12598,2023-04-26 05:27:19+00:00
34,elonmusk,Trøllheim,@Scobleizer Kurzweil seems to be right about ~2029,390,4930,2023-04-26 03:16:49+00:00
35,elonmusk,Trøllheim,"@ylecun The hard take-off is already happening. Just zoom out a little. 

The most fundamental metric imo is the ratio of digital compute to biological compute vs time. It looks like a wall.",860,8908,2023-04-26 03:12:59+00:00
36,elonmusk,Trøllheim,@zoealannahbates Anyone up for the task?,225,3612,2023-04-26 03:04:42+00:00
37,elonmusk,Trøllheim,@nikolas_dm !,1966,33230,2023-04-26 02:32:49+00:00
38,elonmusk,Trøllheim,"@krassenstein Seems early to run an attack ad. Also, the AI will be much better next year.",731,10335,2023-04-26 02:28:21+00:00
39,elonmusk,Trøllheim,@nickfloats Wow,234,3359,2023-04-25 22:00:48+00:00
40,elonmusk,Trøllheim,"@EdKrassen Most people in the west accept abortion in the first trimester, but not in the third trimester. 

Europe has a lot of countries, so many variations: https://t.co/CaQ4UjVVPS",588,7180,2023-04-25 19:59:30+00:00
41,elonmusk,Trøllheim,@dogeofficialceo 🤣,240,8782,2023-04-25 19:48:55+00:00
42,elonmusk,Trøllheim,"@EdKrassen Fair enough then re incumbent not doing debates, although that seems like a tradition that should change",406,6212,2023-04-25 19:46:19+00:00
43,elonmusk,Trøllheim,@SawyerMerritt People still don’t understand the implications of FSD,1114,23929,2023-04-25 19:43:10+00:00
44,elonmusk,Trøllheim,"@TalulahRiley I’ve seen quite a few technologies develop, but none with this level of risk. AGI is significantly higher risk than nuclear weapons, in my opinion.

Super smart humans have trouble imagining something vastly smarter than themselves.",1603,11816,2023-04-25 19:41:23+00:00
45,elonmusk,Trøllheim,@bilawalsidhu Wow,65,1165,2023-04-25 19:33:10+00:00
46,elonmusk,Trøllheim,"@TheRabbitHole84 Over the past few decades, among western elites, LGBT shifted from ostracism (or worse) to being the cool kids club",7834,100933,2023-04-25 19:26:13+00:00
47,elonmusk,Trøllheim,@paulg The mass &amp; difficulty required to build a space habitat like that is extreme. Far better to have a base on the moon &amp; city on Mars.,1651,28417,2023-04-25 19:21:14+00:00
